id	name	category	team	group	credits
P080	Ben Dwarshuis	Bowler	AUS	B	6
P081	Cameron Green	All-Rounder	AUS	B	9
P082	Nathan Ellis	Bowler	AUS	B	8
P083	Josh Hazlewood	Bowler	AUS	B	8.5
P084	Travis Head	Batter	AUS	B	11
P085	Josh Inglis	Wicket-Keeper	AUS	B	7.5
P086	Matthew Kuhnemann	Bowler	AUS	B	5.5
P087	Glenn Maxwell	All-Rounder	AUS	B	1
P088	Matthew Renshaw	Batter	AUS	B	3.5
P089	Marcus Stoinis	All-Rounder	AUS	B	7.5
P090	Adam Zampa	Bowler	AUS	B	7
P091	Dasun Shanaka	All-Rounder	SL	B	8.5
P092	Pathum Nissanka	Batter	SL	B	9.5
P093	Kamil Mishara	Wicket-Keeper	SL	B	2.5
P094	Kusal Mendis	Wicket-Keeper	SL	B	6.5
P095	Kamindu Mendis	All-Rounder	SL	B	7.5
P096	Kusal Perera	Wicket-Keeper	SL	B	7
P097	Charith Asalanka	All-Rounder	SL	B	2.5
P098	Janith Liyanage	All-Rounder	SL	B	4.5
P099	Pavan Rathnayake	Batter	SL	B	4
P100	Wanindu Hasaranga	All-Rounder	SL	B	3
P101	Dunith Wellalage	All-Rounder	SL	B	5.5
P102	Maheesh Theekshana	Bowler	SL	B	2.5
P103	Dushmantha Chameera	Bowler	SL	B	2
P104	Matheesha Pathirana	Bowler	SL	B	6
P105	Eshan Malinga	Bowler	SL	B	2
P106	Sikandar Raza	All-Rounder	ZIM	B	6
P107	Brian Bennett	All-Rounder	ZIM	B	2.5
P108	Ryan Burl	All-Rounder	ZIM	B	3
P109	Graeme Cremer	Bowler	ZIM	B	5
P110	Bradley Evans	All-Rounder	ZIM	B	2
P111	Clive Madande	Wicket-Keeper	ZIM	B	2.5
P112	Tinotenda Maposa	All-Rounder	ZIM	B	4
P113	Tadiwanashe Marumani	Wicket-Keeper	ZIM	B	3
P114	Wellington Masakadza	Bowler	ZIM	B	1.5
P115	Tony Munyonga	All-Rounder	ZIM	B	2.5
P116	Tashinga Musekiwa	Batter	ZIM	B	3.5
P117	Blessing Muzarabani	Bowler	ZIM	B	4.5
P118	Dion Myers	Batter	ZIM	B	2.5
P119	Richard Ngarava	Bowler	ZIM	B	4
P120	Brendan Taylor	Wicket-Keeper	ZIM	B	3.5
P121	Paul Stirling	All-Rounder	IRE	B	6
P122	Mark Adair	Bowler	IRE	B	4.5
P123	Ross Adair	Batter	IRE	B	2
P124	Benjamin Calitz	Batter	IRE	B	3.5
P125	Curtis Campher	All-Rounder	IRE	B	5
P126	Gareth Delany	All-Rounder	IRE	B	3.5
P127	George Dockrell	All-Rounder	IRE	B	3
P128	Matthew Humphreys	All-Rounder	IRE	B	4
P129	Josh Little	Bowler	IRE	B	2.5
P130	Barry McCarthy	Bowler	IRE	B	2.5
P131	Harry Tector	Batter	IRE	B	4.5
P132	Tim Tector	Batter	IRE	B	1.5
P133	Lorcan Tucker	Wicket-Keeper	IRE	B	3.5
P134	Ben White	Bowler	IRE	B	4
P135	Craig Young	Bowler	IRE	B	2.5
P136	Jatinder Singh	Batter	OMA	B	5
P137	Vinayak Shukla	Wicket-Keeper	OMA	B	3.5
P138	Mohammad Nadeem	All-Rounder	OMA	B	2.5
P139	Shakeel Ahmad	Bowler	OMA	B	1.5
P140	Hammad Mirza	Wicket-Keeper	OMA	B	3
P141	Wasim Ali	All-Rounder	OMA	B	2.5
P142	Karan Sonavale	All-Rounder	OMA	B	2.5
P143	Shah Faisal	Bowler	OMA	B	3.5
P144	Nadeem Khan	Bowler	OMA	B	3
P145	Sufyan Mehmood	Bowler	OMA	B	2.5
P146	Jay Odedra	All-Rounder	OMA	B	3
P147	Shafiq Jan	All-Rounder	OMA	B	2
P148	Ashish Odedara	Batter	OMA	B	2.5
P149	Jiten Ramanandi	All-Rounder	OMA	B	3.5
P150	Aamir Kaleem	All-Rounder	OMA	B	3
P151	Harry Brook	Batter	ENG	C	9.5
P152	Rehan Ahmed	All-Rounder	ENG	C	6
P153	Jofra Archer	Bowler	ENG	C	6.5
P154	Tom Banton	Wicket-Keeper	ENG	C	7.5
P155	Jacob Bethell	All-Rounder	ENG	C	8
P156	Jos Buttler	Wicket-Keeper	ENG	C	11
P157	Sam Curran	All-Rounder	ENG	C	9
P158	Liam Dawson	All-Rounder	ENG	C	7
P159	Ben Duckett	Batter	ENG	C	8
P160	Will Jacks	All-Rounder	ENG	C	7.5
P161	Jamie Overton	All-Rounder	ENG	C	7
P162	Adil Rashid	Bowler	ENG	C	6.5
P163	Phil Salt	Wicket-Keeper	ENG	C	10.5
P164	Josh Tongue	Bowler	ENG	C	7
P165	Luke Wood	Bowler	ENG	C	5.5
P166	Shai Hope	Wicket-Keeper	WI	C	8.5
P167	Shimron Hetmyer	Batter	WI	C	6.5
P168	Johnson Charles	Wicket-Keeper	WI	C	6
P169	Roston Chase	All-Rounder	WI	C	4.5
P170	Matthew Forde	Bowler	WI	C	5
P171	Jason Holder	All-Rounder	WI	C	9
P172	Akeal Hosein	Bowler	WI	C	8.5
P173	Shamar Joseph	Bowler	WI	C	8
P174	Brandon King	Batter	WI	C	7
P175	Gudakesh Motie	All-Rounder	WI	C	6.5
P176	Rovman Powell	Batter	WI	C	5
P177	Sherfane Rutherford	All-Rounder	WI	C	9.5
P178	Quentin Sampson	All-Rounder	WI	C	6.5
P179	Jayden Seales	Bowler	WI	C	7.5
P180	Romario Shepherd	All-Rounder	WI	C	11
P181	Wayne Madsen	Batter	ITA	C	5
P182	Marcus Campopiano	Wicket-Keeper	ITA	C	4.5
P183	Gian Meade	Wicket-Keeper	ITA	C	4
P184	Zain Ali	All-Rounder	ITA	C	3.5
P185	Ali Hasan	Bowler	ITA	C	3
P186	Crishan Kalugamage	Bowler	ITA	C	2.5
P187	Harry Manenti	All-Rounder	ITA	C	2
P188	Anthony Mosca	Batter	ITA	C	1.5
P189	Justin Mosca	Batter	ITA	C	1
P190	Syed Naqvi	All-Rounder	ITA	C	1
P191	Benjamin Manenti	Bowler	ITA	C	1.5
P192	Jaspreet Singh	All-Rounder	ITA	C	2
P193	JJ Smuts	All-Rounder	ITA	C	2.5
P194	Grant Stewart	Bowler	ITA	C	3
P195	Thomas Draca	Bowler	ITA	C	4
P196	Rohit Paudel	All-Rounder	NEP	C	4.5
P197	Dipendra Singh Airee	All-Rounder	NEP	C	5
P198	Sandeep Lamichhane	Bowler	NEP	C	4.5
P199	Kushal Bhurtel	Batter	NEP	C	4
P200	Aasif Sheikh	Wicket-Keeper	NEP	C	3.5
P201	Sundeep Jora	Batter	NEP	C	3
P202	Aarif Sheikh	All-Rounder	NEP	C	2.5
P203	Basir Ahamad	Bowler	NEP	C	2
P204	Sompal Kami	All-Rounder	NEP	C	1.5
P205	Karan KC	All-Rounder	NEP	C	1
P206	Nandan Yadav	All-Rounder	NEP	C	1
P207	Gulshan Jha	Bowler	NEP	C	1.5
P208	Lalit Rajbanshi	Bowler	NEP	C	2
P209	Sher Malla	Bowler	NEP	C	2.5
P210	Lokesh Bam	Wicket-Keeper	NEP	C	3
P211	Richie Berrington	All-Rounder	SCO	C	3.5
P212	Tom Bruce	All-Rounder	SCO	C	4
P213	Matthew Cross	Wicket-Keeper	SCO	C	4.5
P214	Bradley Currie	Bowler	SCO	C	5
P215	Oliver Davidson	Bowler	SCO	C	3.5
P216	Chris Greaves	Bowler	SCO	C	4
P217	Zainullah Ihsan	Bowler	SCO	C	2.5
P218	Michael Jones	Batter	SCO	C	1.5
P219	Michael Leask	All-Rounder	SCO	C	3.5
P220	Finlay McCreath	All-Rounder	SCO	C	4
P221	Brandon McMullen	All-Rounder	SCO	C	2.5
P222	George Munsey	Batter	SCO	C	2
P223	Safyaan Sharif	Bowler	SCO	C	2.5
P224	Mark Watt	Bowler	SCO	C	3.5
P225	Bradley Wheal	Bowler	SCO	C	1.5
P226	Aiden Markram	Batter	SA	D	10.5
P227	Corbin Bosch	All-Rounder	SA	D	8
P228	Dewald Brevis	Batter	SA	D	12
P229	Quinton de Kock	Wicket-Keeper	SA	D	10
P230	Marco Jansen	All-Rounder	SA	D	9
P231	George Linde	All-Rounder	SA	D	8
P232	Keshav Maharaj	Bowler	SA	D	8.5
P233	Kwena Maphaka	Bowler	SA	D	6.5
P234	David Miller	Batter	SA	D	7
P235	Lungi Ngidi	Bowler	SA	D	7.5
P236	Anrich Nortje	Bowler	SA	D	8
P237	Kagiso Rabada	Bowler	SA	D	8.5
P238	Ryan Rickelton	Wicket-Keeper	SA	D	8
P239	Jason Smith	Batter	SA	D	6.5
P240	Tristan Stubbs	Wicket-Keeper	SA	D	9.5
P241	Mitchell Santner	All-Rounder	NZ	D	9
P242	Finn Allen	Batter	NZ	D	11
P243	Michael Bracewell	All-Rounder	NZ	D	7.5
P244	Mark Chapman	Batter	NZ	D	8
P245	Devon Conway	Wicket-Keeper	NZ	D	8.5
P246	Jacob Duffy	Bowler	NZ	D	11.5
P247	Lockie Ferguson	Bowler	NZ	D	9.5
P248	Matt Henry	Bowler	NZ	D	10
P249	Kyle Jamieson	Bowler	NZ	D	9
P250	Daryl Mitchell	All-Rounder	NZ	D	10
P251	James Neesham	All-Rounder	NZ	D	8.5
P252	Glenn Phillips	All-Rounder	NZ	D	11
P253	Rachin Ravindra	All-Rounder	NZ	D	1
P254	Tim Seifert	Wicket-Keeper	NZ	D	9.5
P255	Ish Sodhi	Bowler	NZ	D	7
P256	Rashid Khan	All-Rounder	AFG	D	11
P257	Noor Ahmad	Bowler	AFG	D	10.5
P258	Abdullah Ahmadzai	Bowler	AFG	D	6.5
P259	Sediqullah Atal	Batter	AFG	D	4.5
P260	Fazal Haq Farooqi	Bowler	AFG	D	7.5
P261	Rahmanullah Gurbaz	Wicket-Keeper	AFG	D	8
P262	Naveen Ul Haq	Bowler	AFG	D	6.5
P263	Mohammad Ishaq	Wicket-Keeper	AFG	D	5
P264	Shahidullah Kamal	All-Rounder	AFG	D	5.5
P265	Mohammad Nabi	All-Rounder	AFG	D	8.5
P266	Gulbadin Naib	All-Rounder	AFG	D	8
P267	Azmatullah Omarzai	All-Rounder	AFG	D	9
P268	Mujeeb Ur Rahman	Bowler	AFG	D	8
P269	Darwish Rasooli	Batter	AFG	D	7
P270	Ibrahim Zadran	Batter	AFG	D	8.5
P271	Dilpreet Bajwa	All-Rounder	CAN	D	6
P272	Ajayveer Hundal	All-Rounder	CAN	D	5
P273	Ansh Patel	All-Rounder	CAN	D	5.5
P274	Dilon Heyliger	Bowler	CAN	D	4.5
P275	Harsh Thaker	All-Rounder	CAN	D	4.5
P276	Jaskaran Singh	Bowler	CAN	D	3.5
P277	Kaleem Sana	Bowler	CAN	D	5
P278	Kanwarpal Tathgur	Batter	CAN	D	2.5
P279	Navneet Dhaliwal	All-Rounder	CAN	D	3.5
P280	Nicholas Kirton	All-Rounder	CAN	D	4
P281	Ravinderpal Singh	Batter	CAN	D	5
P282	Saad Bin Zafar	All-Rounder	CAN	D	2
P283	Shivam Sharma	Bowler	CAN	D	2.5
P284	Shreyas Movva	Wicket-Keeper	CAN	D	1.5
P285	Yuvraj Samra	Batter	CAN	D	1
P286	Muhammad Waseem	Batter	UAE	D	6
P287	Alishan Sharafu	All-Rounder	UAE	D	3
P288	Aryansh Sharma	Wicket-Keeper	UAE	D	3.5
P289	Dhruv Parashar	All-Rounder	UAE	D	1.5
P290	Haider Ali	Bowler	UAE	D	2
P291	Harshit Kaushik	All-Rounder	UAE	D	3.5
P292	Junaid Siddique	Bowler	UAE	D	2
P293	Mayank Kumar	Batter	UAE	D	3.5
P294	Muhammad Arfan	Bowler	UAE	D	2.5
P295	Muhammad Farooq	Bowler	UAE	D	4
P296	Muhammad Jawadullah	Bowler	UAE	D	2.5
P297	Muhammad Zohaib	Batter	UAE	D	3.5
P298	Rohid Khan	Bowler	UAE	D	5
P299	Sohaib Khan	Batter	UAE	D	2.5
P300	Simranjeet Singh	Bowler	UAE	D	5
